taxonomy,uri,taxonomy.parent,type,description,summary
BUS012, /businessindustryandtrade /itandinternetindustry,BUS001,Product Page,IT and internet industry,Internet sales by businesses in the UK (total value and as a percentage of all retail sales) and the percentage of businesses that have a website and broadband connection. These figures indicate the importance of the internet to UK businesses.
BUS013, /businessindustryandtrade /manufacturingandproductionindustry,BUS001,Product Page,Manufacturing and production industry,"UK manufacturing and other production industries (such as mining and quarrying, energy supply, water supply and waste management), including total UK production output, and UK manufactures' sales by product and industrial division, with EU comparisons."
BUS014, /businessindustryandtrade /retailindustry,BUS001,Product Page,Retail industry,"Sales by retailers in Great Britain directly to end consumers, including spending on goods (in store and online) (Retail Sales Index) and spending on services (Index of Services). The industry as a whole is used as an indicator of how the wider economy is performing and the strength of consumer spending."
BUS015, /businessindustryandtrade /tourismindustry,BUS001,Product Page,Tourism industry,"Tourism and travel (including accommodation services, food and beverage services, passenger transport services, vehicle hire, travel agencies and sports, recreational and conference services), employment levels and output of the tourism industry, the number of visitors to the UK and the amount they spend."
ECO001, /economy,,Landing Page,Economy,"UK economic activity covering production, distribution, consumption and trade of goods and services. Individuals, businesses, organisations and governments all affect the development of the economy."
ECO002, /economy /economicoutputandproductivity,ECO001,Landing Page,Economic output and productivity,"Manufacturing, production and services indices (measuring total economic output) and productivity (measuring efficiency, expressed as a ratio of output to input over a given period of time, for example output per person per hour)."
ECO003, /economy /economicoutputandproductivity /output,ECO002,Product Page,Output,"Economic output, including manufacturing and production (Index of Production) and services (Index of Services)."
ECO004, /economy /economicoutputandproductivity /productivitymeasures,ECO002,Product Page,Productivity measures,"Economic productivity measures, including output per hour, output per job and output per worker for the whole economy and a range of industries; productivity in the public sector; and international comparisons of productivity across the G7 nations."
ECO005, /economy /economicoutputandproductivity /publicservicesproductivity,ECO002,Product Page,Public services productivity,"Output, inputs and productivity estimates for public services in the UK, including estimates of healthcare and education productivity."
ECO006, /economy /environmentalaccounts,ECO001,Product Page,Environmental accounts,"Environmental accounts show how the environment contributes to the economy (for example, through the extraction of raw materials), the impacts that the economy has on the environment (for example, energy consumption and air emissions), and how society responds to environmental issues (for example, through taxation and expenditure on environmental protection). This site also hosts the development of natural capital accounts, more information is available in the Methodology section."
ECO007, /economy /governmentpublicsectorandtaxes,ECO001,Landing Page,"Government, public sector and taxes",How the relationship between UK public sector income (including taxes) and expenditure (both on investment and on the day-to-day running of government) lead to changes in deficit and debt.
ECO008, /economy /governmentpublicsectorandtaxes /localgovernmentfinance,ECO007,Product Page,Local government finance,"Spending on science, engineering and technology by central government departments, research councils and higher education funding councils (HEFCs)."
ECO009, /economy /governmentpublicsectorandtaxes /publicsectorfinance,ECO007,Product Page,Public sector finance,How the relationship between UK public sector monthly income and expenditure leads to changes in deficit and debt.
ECO010, /economy /governmentpublicsectorandtaxes /publicspending,ECO007,Product Page,Public spending,"UK government debt and deficit as reported to the European Commission each January, April, July and October. "
ECO011, /economy /governmentpublicsectorandtaxes /researchanddevelopmentexpenditure,ECO007,Product Page,Research and development expenditure,"Research and development in the UK carried out or funded by business enterprises, higher education, government (including research councils) and private non-profit organisations."
ECO012, /economy /governmentpublicsectorandtaxes /taxesandrevenue,ECO007,Product Page,Taxes and revenue,The effect of taxes and benefits on UK households income. 
ECO013, /economy /grossdomesticproductgdp,ECO001,Product Page,Gross Domestic Product (GDP),"Preliminary, second and final estimates of GDP released over a quarter as more data becomes available. The final estimate is published in the Quarterly National Accounts. GDP is the main measure of UK economic growth based on the value of goods and services produced during a given period. "
ECO014, /economy /grossvalueaddedgva,ECO001,Product Page,Gross Value Added (GVA),"Regional gross value added using production (GVA(P)) and income (GVA(I)) approaches. Regional gross value added is the value generated by any unit engaged in the production of goods and services. GVA per head is a useful way of comparing regions of different sizes. It is not, however, a measure of regional productivity."
ECO015, /economy /inflationandpriceindices,ECO001,Product Page,Inflation and price indices,"The rate of increase in prices for goods and services. Measures of inflation and prices include consumer price inflation, producer price inflation, the house price index, index of private housing rental prices, and construction output price indices. "
ECO016, /economy /investmentspensionsandtrusts,ECO001,Product Page,"Investments, pensions and trusts","Net flows of investment into the UK, the number of people who hold pensions of different types, and investments made by various types of trusts. "
ECO017, /economy /nationalaccounts,ECO001,Landing Page,National accounts,"Core accounts for the UK economy as a whole; individual sectors (sector accounts); accounts for the regions, subregions and local areas of the UK; and satellite accounts that cover activities linked to the economy. The national accounts framework brings units and transactions together to provide a simple and understandable description of production, income, consumption, accumulation and wealth."
ECO018, /economy /nationalaccounts /balanceofpayments,ECO017,Product Page,Balance of payments,All economic transactions between residents of the UK and the rest of the world.
ECO019, /economy /nationalaccounts /satelliteaccounts,ECO017,Product Page,Satellite accounts,"Accounts that cover activities linked to the economy but not part of the core UK national accounts including environmental accounts, tourism satellite account, and household satellite accounts."
ECO020, /economy /nationalaccounts /supplyandusetables,ECO017,Product Page,Supply and use tables,"Balances showing the relationship between components of value added, industry inputs and outputs, and product supply and demand. These tables are a source for the data underlying Gross Domestic Product. "
ECO021, /economy /nationalaccounts /uksectoraccounts,ECO017,Product Page,UK sector accounts,"Transactions of particular groups of institutions (sectors) within the UK economy, showing how the income from production is distributed and redistributed and how savings are used to add wealth through investment in physical or financial assets."
ECO022, /economy /regionalaccounts,ECO001,Landing Page,Regional accounts,"Accounts for regions, sub-regions and local areas of the UK. These accounts allow comparisons between regions and against a UK average. Statistics include regional gross value added (GVA) and figures on regional gross disposable household income (GDHI)."
ECO023, /economy /regionalaccounts /grossdisposablehouseholdincome,ECO022,Product Page,Gross disposable household income,"The amount of money that that all of the individuals in the household sector have available for spending or saving after income distribution measures (for example, taxes, social contributions and benefits) have taken effect. GDHI does not provide measures relating to actual households or family units. The figures cover regions, sub-regions and local areas of the UK. "
ELM001, /employmentandlabourmarket,,Landing Page,Employment and labour market,"People in and out of work covering employment, unemployment, types of work, earnings, working patterns and workplace disputes."
ELM002, /employmentandlabourmarket /peopleinwork,ELM001,Landing Page,People in work,"Employment data covering employment rates, hours of work and earnings."
ELM003, /employmentandlabourmarket /peopleinwork /earningsandworkinghours,ELM002,Product Page,Earnings and working hours,"The level and growth rate of average weekly earnings (regular and bonus pay), and average weekly hours worked by full-time and part-time workers."
ELM004, /employmentandlabourmarket /peopleinwork /employmentandemployeetypes,ELM002,Product Page,Employment and employee types,"Employment rates from the Labour Force Survey (LFS), broken down by age and sex. Employment rates show the number of people in employment as a proportion of the population. Other figures include the number of people in employment (also from the LFS) and vacancies (from the Vacancies Survey)."
ELM005, /employmentandlabourmarket /peopleinwork /labourproductivity,ELM002,Product Page,Labour productivity,"The efficiency of the UK workforce calculated as output per worker, output per job and output per hour. Labour productivity is an important factor in determining the productive potential of the economy. Countries with strong labour productivity growth tend to benefit from high rates of growth and low inflation."
ELM006, /employmentandlabourmarket /peopleinwork /publicsectorpersonnel,ELM002,Product Page,Public sector personnel,"People employed in central government, local government and public corporations, including those with a second job in the public sector. These statistics do not cover self-employed people, contract workers or agency workers."
ELM007, /employmentandlabourmarket /peopleinwork /workplacedisputesandworkingconditions,ELM002,Product Page,Workplace disputes and working conditions,Stoppages of work because of disputes between employers and employees. These include strikes and lock-outs (where an employer stops employees from entering a place of work). Figures include the number of days lost to workplace disputes in the public and private sectors and the number of workers involved.
ELM008, /employmentandlabourmarket /peopleinwork /workplacepensions,ELM002,Product Page,Workplace pensions,"Individuals' pensions linked to their workplace, including defined ambition (DA), defined benefit (DB) and defined contribution (DC) schemes. "
ELM009, /employmentandlabourmarket /peoplenotinwork,ELM001,Landing Page,People not in work,"Unemployed and economically inactive people in the UK including claimants of out-of-work benefits and the number of redundancies.
"
ELM010, /employmentandlabourmarket /peoplenotinwork /economicinactivity,ELM009,Product Page,Economic inactivity,People not in employment who have not been seeking work within the last 4 weeks and/or are unable to start work within the next 2 weeks.
ELM011, /employmentandlabourmarket /peoplenotinwork /outofworkbenefits,ELM009,Product Page,Out of work benefits,"Claimants of unemployment related benefits including Employment and Support Allowance and other incapacity benefits, and Income Support and Pension Credit. 
"
ELM012, /employmentandlabourmarket /peoplenotinwork /redundancies,ELM009,Product Page,Redundancies,People who have been made redundant or have taken voluntary redundancy.
ELM013, /employmentandlabourmarket /peoplenotinwork /unemployment,ELM009,Product Page,Unemployment,The level and rate of UK unemployment measured by the Labour Force Survey (LFS) using a definition of unemployment specified by the International Labour Organisation. Unemployed people as those without a job who have been actively seeking work in the past 4 weeks and are available to start work in the next 2 weeks. It also includes those who are out of work but have found a job and are waiting to start it in the next 2 weeks. 
PPC001, /peoplepopulationandcommunity,,Landing Page,"People, population and community","People living in the UK, changes in the population, how we spend our money, and data on crime, relationships, health and religion. These statistics help us build a detailed picture of how we live."
PPC002, /peoplepopulationandcommunity /birthsdeathsandmarriages,PPC001,Landing Page,"Births, deaths and marriages","Events affecting the UK population and people including conceptions and fertility rates, maternities, live births and stillbirths, marriages, divorces, civil partnerships, cohabitation, family composition, life expectancies and deaths. Life event statistics tell us about the size and condition of the population."
PPC003, /peoplepopulationandcommunity /birthsdeathsandmarriages /adoption,PPC002,Product Page,Adoption,Adoption registrations including the age and gender of the children being adopted and whether they were born inside marriage.
PPC004, /peoplepopulationandcommunity /birthsdeathsandmarriages /ageing,PPC002,Product Page,Ageing,"Population ageing and the lives of older people, including ageing indicators such as estimates of the very old (90+ by age and sex), median age and sex ratios at older ages at national and local levels."
PPC005, /peoplepopulationandcommunity /birthsdeathsandmarriages /conceptionandfertilityrates,PPC002,Product Page,Conception and fertility rates,"Conceptions based on births and abortions data analysed by age and area; and childbearing of women born in different years, average family size and women who remain childless."
PPC006, /peoplepopulationandcommunity /birthsdeathsandmarriages /deaths,PPC002,Product Page,Deaths,"Deaths broken down by age, sex, area and cause of death sourced from the deaths register."
PPC007, /peoplepopulationandcommunity /birthsdeathsandmarriages /divorce,PPC002,Product Page,Divorce,"Divorces taking place covering dissolutions and annulments of marriage by previous marital status, sex and age of persons divorcing, children of  divorced couples, fact proven at divorce and to whom granted."
PPC008, /peoplepopulationandcommunity /birthsdeathsandmarriages /families,PPC002,Product Page,Families,"The composition of families and households, including data on lone parents, married couples and civil partnership families. Household size and household types, including people living alone, multi-family households and households where members are all unrelated are also provided."
PPC009, /peoplepopulationandcommunity /birthsdeathsandmarriages /lifeexpectancies,PPC002,Product Page,Life expectancies,"How long, on average, people can expect to live using estimates of the population and the number of deaths."
PPC010, /peoplepopulationandcommunity /birthsdeathsandmarriages /livebirths,PPC002,Product Page,Live births,"Live births by age of mother/father, sex, marital status, country of birth, socio-economic status, previous children and area."
PPC011, /peoplepopulationandcommunity /birthsdeathsandmarriages /marriagecohabitationandcivilpartnerships,PPC002,Product Page,"Marriage, cohabitation and civil partnerships","Marriages formed, civil partnerships formed and dissolved, and estimates of the population by marital status and living arrangements."
PPC012, /peoplepopulationandcommunity /birthsdeathsandmarriages /maternities,PPC002,Product Page,Maternities,"Women having babies (including stillbirths). A maternity is a pregnancy resulting in the birth of 1 or more children, therefore, these figures are not the same as the number of babies born."
PPC013, /peoplepopulationandcommunity /birthsdeathsandmarriages /stillbirths,PPC002,Product Page,Stillbirths,"Stillbirths containing data on cause of death and sex, plus analyses by some of the key risk factors affecting stillbirths, including age of mother and birthweight."
PPC014, /peoplepopulationandcommunity /crimeandjustice,PPC001,Product Page,Crime and justice,Figures on crime levels and trends for England and Wales based primarily on two sets of statistics: the Crime Survey for England and Wales (CSEW) and police recorded crime data.
PPC015, /peoplepopulationandcommunity /culturalidentity,PPC001,Landing Page,Cultural identity,"How people in the UK see themselves today in terms of ethnicity, sexuality, religion and language, and how this has changed over time. We use a diverse range of sources for this data."
PPC016, /peoplepopulationandcommunity /culturalidentity /ethnicity,PPC015,Product Page,Ethnicity,"Analyses include ethnic identities among the non-UK born population in England and Wales, labour market participation, trends in general health and unpaid care by ethnic group, and inter-ethnic relationships. "
PPC017, /peoplepopulationandcommunity /culturalidentity /language,PPC015,Product Page,Language,The proportion of adults using English as their main language and a breakdown of other languages used in the UK.
PPC018, /peoplepopulationandcommunity /culturalidentity /religion,PPC015,Product Page,Religion,"Analyses include people affiliating with a religion in the 2011 census, and religions among the non-UK born population in England and Wales."
PPC019, /peoplepopulationandcommunity /culturalidentity /sexuality,PPC015,Product Page,Sexuality,"Analyses include sexual identity in the UK by gender, region and age group, sourced from the Integrated Household Survey."
PPC020, /peoplepopulationandcommunity /educationandchildcare,PPC001,Product Page,Education and childcare,"Early years childcare, school and college education, and higher education and adult learning, including qualifications, personnel, and safety and well-being. "
PPC021, /peoplepopulationandcommunity /elections,PPC001,Landing Page,Elections,"Analysis of the number of people registered to vote, including comparisons over time and between the UK constituent countries."
PPC022, /peoplepopulationandcommunity /elections /electoralregistration,PPC021,Product Page,Electoral registration,"Annual counts of people listed on electoral registers for the UK and its constituent countries, local government areas and parliamentary constituencies. These figures are based on people registered to vote not people eligible to vote. "
PPC023, /peoplepopulationandcommunity /elections /generalelections,PPC021,Product Page,General elections,"Forms of civic engagement, including satisfaction with government and democracy, interest in politics and participation in politics."
PPC024, /peoplepopulationandcommunity /elections /localgovernmentelections,PPC021,Product Page,Local government elections,"Individuals engagement with local government, including involvement in decision-making. "
PPC025, /peoplepopulationandcommunity /healthandsocialcare,PPC001,Landing Page,Health and social care,"Life expectancy and the impact of factors such as occupation, illness and drug misuse. We collect these statistics from registrations and surveys. "
PPC026, /peoplepopulationandcommunity /healthandsocialcare /causesofdeath,PPC025,Product Page,Causes of death,"Annual mortality statistics on deaths registered by age group, sex and underlying cause of death, and by other information collected at the time of registration."
PPC027, /peoplepopulationandcommunity /healthandsocialcare /childhealth,PPC025,Product Page,Child health,"Children's health and well-being including childhood, infant and perinatal mortality; unexplained deaths in infancy; childhood cancer survival; and children's well-being."
PPC028, /peoplepopulationandcommunity /healthandsocialcare /conditionsanddiseases,PPC025,Product Page,Conditions and diseases,"Health conditions and diseases including newly diagnosed cancers, deaths from MRSA and deaths involving clostridium difficile (bacterial infection)."
PPC029, /peoplepopulationandcommunity /healthandsocialcare /disability,PPC025,Product Page,Disability,People with disabilities and how disability affects day-to-day activities.
PPC030, /peoplepopulationandcommunity /healthandsocialcare /drugusealcoholandsmoking,PPC025,Product Page,"Drug use, alcohol and smoking","Smoking and drinking habits in Great Britain, deaths related to drug poisoning  and drug misuse, and deaths caused by diseases known to be related to alcohol consumption."
PPC031, /peoplepopulationandcommunity /healthandsocialcare /healthandlifeexpectancies,PPC025,Product Page,Health and life expectancies,"Comparisons and inequalities in healthy life expectancies (HLE), disability-free life expectancies (DFLE) and life expectancies (LE)."
PPC032, /peoplepopulationandcommunity /healthandsocialcare /healthandwellbeing,PPC025,Product Page,Health and well-being,"Analyses of social and economic data from government and other organisations to paint a picture of UK society and how it changes, including comparisons with other countries. "
PPC033, /peoplepopulationandcommunity /healthandsocialcare /healthcaresystem,PPC025,Product Page,Health care system,"Expenditure on both private and public health care systems in the UK, as well as the results for the National Survey of Bereaved People (VOICES). "
PPC034, /peoplepopulationandcommunity /healthandsocialcare /healthinequalities,PPC025,Product Page,Health inequalities,Current patterns and trends in ill health and death by measures of socio-economic status.
PPC035, /peoplepopulationandcommunity /healthandsocialcare /mentalhealth,PPC025,Product Page,Mental health,"Mental health of children, adolescents and adults."
PPC036, /peoplepopulationandcommunity /healthandsocialcare /socialcare,PPC025,Product Page,Social care,"People who require social care, as well as those who work in social care, performance levels, and its financial cost. "
PPC037, /peoplepopulationandcommunity /householdcharacteristics,PPC001,Landing Page,Household characteristics,"The composition of households, including those who live alone, overcrowding and under-occupation, as well as internet and social media usage by household."
PPC038, /peoplepopulationandcommunity /householdcharacteristics /homeinternetandsocialmediausage,PPC037,Product Page,Home internet and social media usage,"Use of the internet and social media and how long we use it for. These data include the number of people who have used the internet, those who use the internet frequently and those who have never used the internet. Most of these statistics are broken down by age and gender."
PPC039, /peoplepopulationandcommunity /housing,PPC001,Product Page,Housing,"Property price, private rent and household survey and census statistics, used by government and other organisations for the creation and fulfilment of housing policy in the UK."
PPC040, /peoplepopulationandcommunity /leisureandtourism,PPC001,Product Page,Leisure and tourism,"Visits and visitors to the UK, the reasons for visiting and the amount of money they spent here. Also UK residents travelling abroad, their reasons for travel and the amount of money they spent. The statistics on UK residents travelling abroad are an informal indicator of living standards."
PPC041, /peoplepopulationandcommunity /personalandhouseholdfinances,PPC001,Landing Page,Personal and household finances,"Income and earnings, spending and saving, and wealth and debt. These statistics help build a picture of how living standards and inequality have changed. "
PPC042, /peoplepopulationandcommunity /personalandhouseholdfinances /debt,PPC041,Product Page,Debt,"Debt of UK households, broken down by financial debt and property debt."
PPC043, /peoplepopulationandcommunity /personalandhouseholdfinances /expenditure,PPC041,Product Page,Expenditure,"Spending patterns of UK households, with findings taken from the Living Costs and Food Survey (LCF)."
PPC044, /peoplepopulationandcommunity /personalandhouseholdfinances /incomeandwealth,PPC041,Product Page,Income and wealth,UK household income and wealth.
PPC045, /peoplepopulationandcommunity /personalandhouseholdfinances /pensionssavingsandinvestments,PPC041,Product Page,"Pensions, savings and investments","State, private, occupational and workplace pensions, including pension trends that draws together data from other government departments and organisations.  "
PPC046, /peoplepopulationandcommunity /populationandmigration,PPC001,Landing Page,Population and migration,"Size, age, gender and geographic distribution of the UK population, and changes in the UK population and the factors driving these changes. These statistics have a wide range of uses. Central government, local government and the health sector use them for planning, resource allocation and managing the economy. They are also used by people such as market researchers and academics."
PPC047, /peoplepopulationandcommunity /populationandmigration /internationalmigration,PPC046,Product Page,International migration,"People moving into and out of the UK, long term migration, short term migration, and non-UK residents data providing a picture of those entering and leaving the UK, covering all lengths of stay. "
PPC048, /peoplepopulationandcommunity /populationandmigration /migrationwithintheuk,PPC046,Product Page,Migration within the UK,"Residential moves between different geographic areas within the UK sourced from the NHS Patient Register, the NHS Central Register (NHSCR) and the Higher Education Statistics Agency (HESA). "
PPC049, /peoplepopulationandcommunity /populationandmigration /populationestimates,PPC046,Product Page,Population estimates,"Annual population estimates for the UK and its constituent countries, the regions and counties of England, and local authorities and their equivalents. Estimates for lower and middle layer Super Output Areas, Westminster parliamentary constituencies, electoral wards and National Parks in England and Wales and clinical commissioning groups in England."
PPC050, /peoplepopulationandcommunity /populationandmigration /populationprojections,PPC046,Product Page,Population projections,"Population projections provide an indication of the future size and age structure of the population based on mid-year population estimates and a set of assumptions of future fertility, mortality and migration. Available for the UK and its constituent countries as national population projections and for the regions, local authorities and clinical commissioning groups in England as subnational population projections. These projections are widely used for resource allocation and planning."
PPC051, /peoplepopulationandcommunity /wellbeing,PPC001,Product Page,Well-being,"Societal and personal well-being in the UK looking beyond what we produce, to areas such as health, relationships, education and skills, what we do, where we live, our finances and the environment. This data comes from a variety of sources and much of the analysis is new."
